n00001740	juristische Person
n00091779	Minenräumung
n00091893	Abwasserentsorgung
n00091977	Lockvogeltaktik
n00092212	Privatvertrag
n00092366	Auktion, Versteigerung, Verkauf
n00092663	Schmuggel
n00092847	Schmuggel
n00093006	Groß-/Kleinschreibung, Großschreibung
n00093127	Überkapitalisierung, Überkapitalisierung
n00093354	Rückgewinnung
n00093483	Rettung, Befreiung, Lieferung, Rettung
n00093874	lebensrettend
n00094001	Erlösung, Erlösung
n00094240	Absolution, Erlass, Erlass, Erlass der Sünde
n00094500	Genuss
n00094788	Bekehrung, Wiedergeburt, geistige Wiedergeburt
n00094954	Missionierung
n00095121	Sühne, Sühne, Sühne
n00095329	Wiedergutmachung, Wiedergutmachung
n00095502	Befreiung, Befreiung, Befreiung
n00095873	Gefängnislieferung
n00095971	Reklamation, Reformation
n00096211	Bergung
n00096343	Bergung
n00096513	Erlösung
n00096720	Such- und Rettungsmission
n00096851	Geisel
n00096969	zurückerobern, wiedererobern
n00097122	zurückerobern
n00097244	Aufruf
n00097348	Instrumentierung
n00097504	Leistung, Ausführung, Ausführung, Ausführung
n00097923	Spezifische Leistung
n00098051	sprachliche Leistung
n00098385	Mechanismus, Mechanik
n00098625	Service
n00098822	Bordsteinservice
n00098939	Selbstbedienung
n00099061	Parkservice
n00099267	dramatische Inszenierung, dramatische Darbietung
n00099439	Zugabe
n00099588	Extemporisierung, Extemporisierung, Improvisation
n00099799	jonglieren, jonglieren
n00099951	Zaubertrick, Zaubertrick, Trick, Magie, Taschenspielertrick, Beschwörung, Thaumaturgie, Illusion, Täuschung
n00100253	musikalische Darstellung
n00100437	One-Night-Stand
n00100543	Wiedergabe, Wiedergabe, Interpretation
n00100889	Neuinterpretation
n00101003	drehen
n00101191	spielen
n00101410	Verbeugung
n00101570	Spiccato, Spiccato-Verbeugung
n00101708	Rohrleitungen
n00101809	anhalten
n00102039	Doppelstopp
n00102162	Umsetzung
n00102374	Jam-Session
n00102457	Automatisierung, Mechanisierung, Mechanisierung
n00102779	Computerisierung, Kybernation
n00102927	Motorisierung, Motorisierung
n00103140	starten, starten
n00103291	starten
n00103419	Raketenabschuss, Raketenstart
n00103590	explodieren, erschossen
n00103737	Mondschuss
n00103834	Antrieb, Schub, treibende Kraft
n00104088	Firewall
n00104249	Impuls, Impuls, Impuls
n00104409	Rolle, Schüssel
n00104539	Wurf
n00104976	Bowling
n00105164	schleudern
n00105271	heben, heben
n00105479	schleudern, werfen
n00105624	schlanker
n00105820	weitergeben, werfen, umdrehen
n00106104	Tonhöhe
n00106272	Stellplatz, Lieferung
n00106726	Klingelton
n00106888	schüchtern
n00107016	schleudern
n00107137	einwerfen
n00107279	Balken
n00107400	Ball
n00107551	Bohnenkugel, Bohnenkraut
n00107684	Wechsel, Tempowechsel, Tempowechsel Ball, Off-Speed-Pitch
n00107875	Kurve, Kurvenkugel, Kugel brechen, Bieger
n00108081	Staubtuch
n00108181	Fastball, Heizung, Rauch, Hummer, Kugel
n00108427	Knuckleball, Knuckler
n00108545	Überhand-Tonhöhe
n00108665	Ball gepasst
n00108818	Schraubendreher
n00108965	sinker
n00109081	Schieberegler
n00109227	spucken, spucken
n00109414	schlagen
n00109771	U-Boot-Kugel, U-Boot-Spielfeld
n00109892	wildes Pech
n00110057	Basketballschuss
n00110415	Bankschuss
n00110554	Dunk, Dunk Shot, Zeug geschossen
n00110745	Slam Dunk
n00110834	Fingerrolle
n00110964	Foulschuss, Freiwurf, Elfmeter-Freiwurf, Wohltätigkeitswurf, Wohltätigkeitswurf, Wohltätigkeitsschuss
n00111222	eins und eins
n00111358	Hakenschuss, Haken
n00111503	Jumper, Sprungschuss
n00111660	auflegen, auflegen
n00111839	Pivot-Schuss
n00111962	Schuss setzen
n00112072	Schuß
n00112185	Trinkgeld in
n00112312	schieben, schieben
n00112674	Depression
n00112828	klick, mausklick
n00112997	schubsen, joggen
n00113113	drücken, drücken, drücken
n00113532	Eindruck
n00113726	schieben
n00113954	Bündelung
n00114095	drängeln, drängeln
n00114298	Ellbogen
n00114431	ziehen, ziehen
n00114871	ziehen
n00115036	ziehen, schleppen, schleppen
n00115292	schleppen, schleppen
n00115500	zerren, rucken
n00115667	Entwurf, Entwurf, Zeichnung
n00115803	Exstirpation, Exzision, Entwurzelung
n00116008	zupfen
n00116122	Traktion
n00116376	heben, heben, heben
n00116687	Vertreibung, Projektion, Auswurf, Vertreibung
n00116989	Fenstersturz
n00117124	Akkommodationsreflex
n00117267	Babinski, Babinski-Reflex, Babinski-Zeichen
n00117578	rülpsen, rülpsen, rülpsen, rülpsen, aufstoßen
n00117810	rülpsen
n00117959	blinzeln, augenblinzeln, blinzeln, zwinkern, zwinkern, Nicken, Nicken
n00118268	erröten, erröten
n00118445	husten
n00118552	spucken, spucken, auswurf
n00118733	Erbrechen, Erbrechen, Erbrechen, Aufstoßen, Ausstoßen, Kotzen
n00119079	Wiederkäuen
n00119210	Hämatemesis, Hämatemesis
n00119297	Hyperemesis
n00119402	Hyperemesis gravidarum
n00119568	springen, springen
n00119893	Header
n00120010	hüpfen
n00120202	springen, springen, Frühling, Saltation, gebunden, hüpfen
n00120515	Gewölbe, Hürde
n00120647	Auf-und Abspringen
n00120804	Lob
n00120943	Zentrierung, Schnapp
n00121166	senden
n00121366	Übertragung, Übertragung, Übertragung
n00121645	Weiterleitung
n00121904	Verweisung
n00122106	Erlass, Erlass, Erlass
n00122338	mailen, posten
n00122530	rollen, rollen
n00122661	schießen, erschossen
n00122954	schießen
n00123143	Gegenschuss
n00123234	entladen, feuern, abfeuern
n00123430	Pistole
n00123652	Feuerkontrolle
n00123783	Schüsse, Schuss
n00124008	enfilade, enfilade feuer
n00124151	Schnepfe
n00124256	Kopfschuss
n00124342	Tontaubenschießen, Tontaubenschießen, Trapschießen
n00124536	Granatenfeuer
n00124617	Schießerei, Schießerei, Schießerei
n00124766	Schuss
n00124880	Kontakt, Körperkontakt
n00125126	reiben, wischen
n00125315	scheuern
n00125436	tippen, klopfen, tupfen
n00125629	schlagen, schlagen, schlagen
n00126100	Prellung
n00126236	abstürzen, zerschmettern
n00126447	Aufprall, Aufprall
n00126584	mit der Wimper
n00126721	Feldarbeit
n00126886	fangen
n00127021	Golfen
n00127151	Pitching
n00127286	Basen auf Bällen, gehen, passen
n00127531	Beste
n00127672	am schlimmsten
n00127866	fairer Ball
n00128091	fauler Ball
n00128324	snick
n00128477	bunt
n00128638	flieg, flieg ball
n00128867	sprengen
n00128976	Pop-Fly, Pop-Fly, Pop-up
n00129089	Grounder, Groundball, Groundball, Hopper
n00129317	hacken, hacken
n00129435	Rolle
n00129527	aus
n00129743	erzwingen, erzwingen, Spiel erzwingen, erzwingen
n00130093	herausgeben
n00130347	durchstreichen
n00130512	Hauch
n00130673	Wahl des Feldspielers
n00130846	Opfern
n00130987	Opferfliege
n00131090	Basistreffer, Sicherheit
n00131347	Gänseblümchenschneider
n00131485	Header
n00131608	Liner, Linienantrieb
n00131791	scorcher, schreier
n00131877	Line-Drive-Single, Line-Single
n00131991	Line-Drive-Doppel, Line-Doppel
n00132105	Line-Drive-Triple, Line-Triple
n00132219	plunk, plunker
n00132355	homer, home run
n00132497	Solo-Homer, Solo-Explosion
n00132601	einzeln, bingle
n00132756	Double, Two-Base-Hit, Two-Bagger, Two-Baser
n00132982	Triple, Three-Base-Hit, Three-Bagger
n00133160	Rückhand
n00133234	Clip
n00133338	klopfen, Gürtel, Rap, Schlag, Whang
n00133567	thwack
n00133668	schmatzen, schmatzen, klatschen
n00133875	Schmatzer
n00133981	niederschlagen
n00134099	KO, KO, Kayo
n00134246	technischer Knockout, TKO
n00134391	Klatsche
n00134472	versohlen
n00134574	peitsche, peitsche, peitsche
n00134780	Schlagen, Schlagkraft, Stochern, Lecken, Biff, Schnecke
n00135148	Kasten
n00135311	graben, jab
n00135504	kontern, parieren, kontern
n00135637	Heumacher, Knockout Punsch, KO Punsch, Sonntagspunsch
n00135799	Haken
n00135952	Jab
n00136048	Genickschlag
n00136152	Sucker Punch
n00136230	Rundhaus
n00136329	treten, booten, treten
n00136691	Torschuss
n00136876	Torschuss
n00136984	stochern, stochern
n00137279	Platzstoß, Platzstoß
n00137534	Freistoß
n00137709	Eckstoß
n00137877	Dropkick
n00138078	Kuss
n00138221	Kuss, Bus, Schmusen
n00138441	auflegen
n00138599	schmatzen, schmatzen
n00138734	Schmatzer
n00138799	Seelenkuss, tiefer Kuss, Zungenkuss
n00138956	fangen, greifen, schnappen, schnappen
n00139544	fairer Fang
n00139758	Abfangen
n00139919	Rezeption
n00140112	Rebound
n00140264	Schnürsenkel fangen
n00140393	ineinandergreifen, ineinandergreifen, ineinandergreifen, ineinandergreifen
n00140652	Handhabung, Manipulation
n00140900	Fingersatz
n00141027	tasten
n00141176	Prüfung
n00141396	Autopsie, Autopsie, Obduktion, Obduktion, PM, Obduktion, Obduktion
n00141669	Check-In
n00141806	Check, Checkout, Check-out-Verfahren
n00142140	Stichprobe
n00142361	untersuchung, ärztliche untersuchung, ärztliche untersuchung, ärztliche untersuchung, medizinisch, gesundheitsprüfung
n00142665	vergleichen, vergleichen
n00143057	feinzahniger Kamm, feinzahniger Kamm
n00143251	Follow-up, Follow-up, erneute Untersuchung, Überprüfung
n00143536	gehen über
n00143626	einmal vorbei, schau vorbei
n00143763	Ophthalmoskopie
n00143885	Abtasten, taktische Erkundung
n00144182	Stimmzettel
n00144445	kitzeln, kitzeln, kitzeln
n00144632	streicheln, streicheln
n00144778	streicheln
n00145024	Schild
n00145218	verbinden, verbinden, verbinden
n00145779	Schlag
n00145929	Zusammenschaltung
n00146111	Überschneidung
n00146277	Annäherung, näher zusammenbringen
n00146443	Verkettung
n00146572	Konvergenz, Konvergenz, Konvergenz
n00146856	verschmelzen, treffen, zusammenkommen
n00147091	Zusammenfluss, Zusammenfluss
n00147187	Begegnung, auftauchen
n00147314	Artikulation
n00147454	Kreuzung, Nebenstelle
n00147595	Befestigung, Befestigung
n00147862	Lockerung, Entspannung
n00148057	Anziehen
n00148242	Liga
n00148446	Ligatur der Eileiter
n00148653	Kleben, Löten
n00148762	Dübeln
n00148836	Erdung, Erdung
n00148978	Verknüpfung
n00149084	binden, binden
n00149262	losbinden, lösen, lösen
n00149508	Schweißen
n00149699	Stumpfschweißen, Stumpfschweißen
n00149895	Punktschweißen, Punktschweißen
n00150097	aufflackern
n00150228	Texas-Ligaspieler
n00150379	Abbrennschweißen, Abbrennstumpfschweißen
n00150591	lecken, schoß
n00150762	grasen, rasieren, abschöpfen
n00150932	Verfolgung
n00151087	Aufspüren, Fangen, Spionieren, Spionieren, Beobachten
n00151314	Selbstfindung
n00151409	Durchbruch
n00151497	Bestimmung, Feststellung
n00151914	Wiederentdeckung
n00152018	Bezeichnung, Identifikation
n00152230	Bertillon-System
n00152338	Fingerabdrücke
n00152519	genetisches Profiling, genetischer Fingerabdruck
n00152727	diagnostizieren, diagnostizieren
n00152990	Blutgruppenbestimmung
n00153105	medizinische Diagnose
n00153288	Pränataldiagnostik
n00153499	Differenzialdiagnose
n00153665	Prognose, Aussicht, medizinische Prognose
n00153809	Auflösung, Lösung
n00153961	Validierung, Beweis, Begründung
n00154233	Authentifizierung, Zertifizierung
n00154433	Dokumentation, Support
n00154689	Monetarisierung, Monetarisierung
n00154894	Nachlass
n00155085	Demonetisierung, Demonetisierung
n00155298	Fälschung, Fälschung, Widerlegung, Widerlegung, Widerlegung
n00155487	Lokalisierung, Lokalisierung, Ort, Lokalisierung, Fix
n00155797	Echoortung, Echolotung
n00155970	Vorherbestimmung
n00156119	Berichtigung
n00156293	Neubestimmung
n00156390	Trigger, Induktion, Initiation
n00156625	Anstiftung, Anstiftung
n00156812	Zwang, Zwang
n00157081	beeinflussen
n00157318	Fremdbestäubung
n00157463	Exposition
n00157687	sehr ausgesetzt
n00157877	Unterbelichtung
n00157957	Aufprall, Eingriff, Auswirkung
n00158185	Manipulation, Verwendung
n00158443	Gedankenspiel
n00158805	Autosuggestion, Autosuggestion, Selbstsuggestion
n00158996	Hypnose, Mesmerismus, Suggestion
n00159177	Veranlassung, Veranlassung
n00159396	Korruption
n00159620	Verlockung, Versuchung
n00159899	Schmeichelei, Schmeichelei
n00160073	Anbiederung, Anspielung
n00160297	in die Irre führen, wegführen
n00160415	Verführung
n00160532	Verführung, Eroberung
n00160688	sexuelle Eroberung, Partitur
n00160922	Hahnrei
n00161044	Aufforderung, Verlockung
n00161243	Wahl, Auswahl, Option, Auswahl
n00161603	Gießen
n00161739	Färbung, Färbung
n00161888	Probenahme
n00162055	Stichproben
n00162236	Glücksbad
n00162417	geschichtete Probenahme, repräsentative Probenahme, proportionale Probenahme
n00162632	Entscheidung, Entschlossenheit, Schlussfolgerung
n00163047	willens, willens
n00163233	Absicht
n00163406	Kehrtwende, Kehrtwende, Umkehr, Politikänderung
n00163630	Verfälschung
n00163779	Ernennung, Zuordnung, Benennung, Benennung
n00164152	Nominierung
n00164345	Zuweisung, Zuweisung
n00164579	Zuordnung, Speicherzuordnung
n00164801	Anruf
n00164999	Kooptation, Kooptation
n00165178	Delegation
n00165298	Ordination, Verordnung
n00165563	Erkennung
n00165793	Handauflegen
n00165942	Bewegung
n00166172	Bewegung
n00166355	Schachzug
n00166552	Burg, Burg
n00166702	ergreifen
n00166865	en passant
n00167063	Austausch
n00167278	Austausch
n00167446	prüfen
n00167580	entdeckt Scheck
n00167764	Schachmatt, Kumpel
n00167950	Gambit
n00168121	demarche
n00168237	Manöver, Manöver, taktisches Manöver, taktisches Manöver
n00168505	Parken
n00168658	Umzug, Umzug
n00168911	huschen
n00169047	herunterschalten
n00169147	herunterschalten
n00169305	Bank
n00169522	vertikale Bank
n00169651	Kronleuchter
n00169811	Schleife, Schleife-die-Schleife
n00170005	Innenschleife
n00170172	Außenschleife
n00170340	rollen
n00170536	Fassrolle
n00170643	Schnapprolle
n00170710	rutschen, seitlich rutschen
n00170844	Flugmanöver, Flugzeugmanöver
n00171050	gerader Arm
n00171249	Gerät, Spielerei, Drehung
n00171507	Gedächtnisstütze
n00171618	Trick, schnell
n00171882	shtik, schtik, shtick, schtick
n00172073	Finte
n00172217	juke, fake
n00172347	Beinarbeit
n00172490	Trick, Schachzug, Strategie
n00172598	List, Kunstgriff
n00172710	Mittel, Agentur, Weg
n00173172	dint
n00173283	fliehen
n00173487	Überholspur
n00173761	Instrument, Werkzeug
n00174003	Straße
n00174127	königliche Straße
n00174260	Sprungbrett
n00174412	messen, Schritt
n00174663	Gegenmaßnahme
n00174782	Bärenumarmung
n00174950	Stellvertreterkampf
n00175174	Leveraged Buyout
n00175433	Bust-up-Übernahme
n00175605	Haiabwehrmittel, Stachelschweinversorgung
n00175875	goldener Fallschirm
n00176052	Greenmail
n00176312	Pac-Man-Strategie
n00176449	Giftpille
n00176609	Selbstmordpille
n00176766	sicherer Hafen
n00176994	Politik der verbrannten Erde
n00177127	Diagnoseverfahren, Diagnosetechnik
n00177448	zweckmäßig
n00177638	Rücklaufsperre
n00177783	Notfallprotokoll
n00178024	Versuchsdurchführung
n00178177	Doppelblindverfahren, Doppelblindexperiment, Doppelblindstudie
n00178551	Behelfslösung, Notlösung, behelfsmäßig
n00178700	Krücke
n00178832	Improvisation, vorübergehendes Hilfsmittel
n00178972	Pis aller, letzter Ausweg
n00179125	verzweifelte Maßnahme
n00179275	Sesam öffne dich
n00179380	Erlösung
n00179576	Zahn
n00179683	Stimme
n00179916	Flügel
n00180054	Lose werfen, Lose ziehen, sortieren
n00180228	Auflösung
n00180413	Annahme, Annahme, Annahme, Verlobung
n00180770	Umarmung, Busen
n00180962	Wahl
n00181191	Kooptation, Kooptation
n00181373	Wiederwahl
n00181495	Volksabstimmung
n00181640	Referendum
n00181781	Wahl
n00182213	Abstimmung
n00182435	Parlamentswahlen
n00182571	Vorwahl, Vorwahl
n00182723	direkt primär
n00182897	geschlossene primäre
n00183084	Primär öffnen
n00183240	Nachwahl, Nachwahl
n00183357	abfließen
n00183505	abstimmen, abstimmen, abstimmen, abstimmen
n00183995	Stimme blockieren
n00184135	kumulative Stimme
n00184362	geheime Abstimmung
n00184501	geteiltes Ticket
n00184652	gerades Ticket
n00184802	Mehrfachabstimmung
n00184981	Stimmabgabe
n00185104	Versöhnung, Ausgleich
n00185307	gleichung, gleichsetzung
n00185438	Steißgeburt, Steißgeburt, Steißvorstellung
n00185612	Frank Breech, Frank Breech Lieferung
